Gender	Age	SocialStatus	LikeUser
Woman	Old	High	0
Woman	Young	High	1
Man	Old	Low	0
Man	Old	Low	0
Woman	Young	High	1
Woman	Young	High	1
Man	NA	Low	1
Man	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Man	Young	NA	0
Man	Old	Low	0
Woman	Old	High	1
Man	Young	Low	1
Man	Young	Low	0
Woman	Old	High	1
Woman	Young	Low	1
Woman	Old	High	0
Woman	Young	High	1
Man	Young	Low	1
Man	Old	Low	0
Woman	Old	High	1
Man	Old	Low	0
Man	Young	Low	1
Woman	Old	High	1
Woman	Young	High	1
Woman	Young	Low	1
Woman	Young	High	1
Man	Young	Low	1
Woman	Old	Low	0
Woman	Young	High	1
Woman	Old	High	1
Man	Young	Low	0
Woman	Old	High	1
Man	Old	Low	0
Man	NA	Low	0
Woman	Young	High	1
Man	Old	Low	0
Woman	Old	High	1
Woman	Young	High	1
Man	Old	Low	0
Man	Old	Low	0
Man	Old	Low	0
Man	Young	Low	1
Woman	Old	High	0
Man	Young	NA	1
Woman	Young	Low	1
Woman	Old	High	0
Man	Old	Low	0
Man	Young	Low	1
Woman	Old	High	0
Man	Young	Low	1
Man	Young	Low	1
Man	Young	NA	1
Man	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Woman	Old	High	0
Woman	Old	High	0
Woman	Old	High	0
Woman	Old	High	0
Man	Young	Low	1
Woman	Young	High	1
Man	Old	Low	0
Woman	Old	High	1
Woman	Old	High	1
Man	NA	Low	0
Man	Old	Low	0
Man	Young	Low	0
Woman	Young	High	1
Woman	Old	High	0
Man	Old	Low	0
Man	Young	Low	1
Man	Old	Low	0
Woman	Old	High	0
Woman	Young	Low	1
Man	Young	Low	1
Man	Old	Low	0
Man	Young	Low	0
Woman	Young	Low	1
Man	Old	Low	0
Woman	Old	High	1
Woman	Young	High	1
Woman	Young	High	1
Man	Old	Low	0
Woman	Old	High	0
Man	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Woman	Old	High	1
Man	NA	Low	0
Man	NA	Low	1
Man	Young	Low	1
Woman	Young	High	1
Woman	Old	High	0
Woman	Old	High	1
Woman	Young	High	1
Man	Young	Low	0
Woman	Old	Low	0
Man	Old	Low	0
Man	Young	NA	0
Man	Old	Low	0
Woman	Young	High	1
Woman	Old	High	1
Woman	Old	High	1
Man	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Man	Young	Low	0
Woman	Young	High	1
Woman	Young	Low	1
Man	Old	Low	0
Man	Young	Low	1
Man	Old	Low	0
Woman	Young	Low	1
Woman	Old	High	0
Man	Young	Low	0
Man	Old	Low	0
Woman	Old	Low	0
Man	Old	Low	0
Man	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Man	Old	Low	0
Man	Old	Low	0
Man	Young	Low	0
Woman	Young	High	1
Man	Young	Low	1
Woman	Old	High	1
Woman	Young	High	1
Woman	Young	High	1
Man	Young	Low	1
Woman	Young	High	1
Man	Young	Low	1
Man	Young	Low	1
Woman	Young	High	1
Woman	Young	Low	1
Man	Young	Low	0
Woman	Old	High	1
Woman	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Woman	Young	High	1
Woman	Old	High	0
Woman	Old	Low	0
Man	Young	Low	1
Man	Young	Low	0
Man	Young	Low	0
Man	Old	Low	0
Man	Old	Low	0
Man	Old	Low	0
Woman	Young	High	1
Man	Old	Low	0
Man	Old	Low	0
Woman	Young	Low	1
Woman	Old	High	1
Man	NA	Low	0
Woman	Old	High	0
Man	Young	Low	1
Man	Old	Low	0
Man	Young	Low	1
Woman	Old	High	1
Woman	Old	High	0
Man	Old	Low	0
Man	Old	Low	0
Man	Old	Low	0
Man	Old	Low	0
Woman	Old	High	0
Woman	Old	High	0
Woman	Old	High	0
Woman	Old	High	0
Woman	Old	Low	0
Woman	Young	High	1
Man	Young	NA	0
Man	Old	Low	0
Woman	Young	Low	1
Woman	Old	High	0
Woman	Young	High	1
Woman	Old	High	1
Woman	Young	Low	1
Man	Old	Low	0
Woman	Young	High	1
Man	Young	Low	0
Man	Young	Low	0
Man	Young	Low	0
Woman	Young	High	1
Woman	Young	High	1
Woman	Old	High	1
Man	Old	Low	0
Woman	Young	Low	1
Woman	Old	High	0
Woman	Young	High	1
Man	Old	Low	0
Man	Young	Low	0
Woman	Young	High	1
Man	Old	Low	0
